{'generation': 184, 'avg_fitness': 6811.1111111111113, 'var_fitness': 1888236.5432098764, 'best_fitness': 8880}
{'generation': 185, 'avg_fitness': 6350.4444444444443, 'var_fitness': 1978111.135802469, 'best_fitness': 8880}
{'generation': 186, 'avg_fitness': 7830.4444444444443, 'var_fitness': 730196.24691358022, 'best_fitness': 8880}
{'generation': 187, 'avg_fitness': 7637.8888888888887, 'var_fitness': 851156.98765432101, 'best_fitness': 8548}
{'generation': 188, 'avg_fitness': 7610.8888888888887, 'var_fitness': 1701883.8765432099, 'best_fitness': 9166}
{'generation': 189, 'avg_fitness': 7436.2222222222226, 'var_fitness': 1664993.5061728396, 'best_fitness': 10400}
{'generation': 190, 'avg_fitness': 7242.8888888888887, 'var_fitness': 1595789.4320987654, 'best_fitness': 10400}
{'generation': 191, 'avg_fitness': 8031.5555555555557, 'var_fitness': 879307.80246913573, 'best_fitness': 10400}
{'generation': 192, 'avg_fitness': 8132.666666666667, 'var_fitness': 750051.77777777775, 'best_fitness': 9910}
{'generation': 193, 'avg_fitness': 8046.333333333333, 'var_fitness': 736116.22222222225, 'best_fitness': 9910}
{'generation': 194, 'avg_fitness': 7906.2222222222226, 'var_fitness': 1142341.0617283951, 'best_fitness': 9227}
{'generation': 195, 'avg_fitness': 7958.0, 'var_fitness': 380497.77777777775, 'best_fitness': 9227}
{'generation': 196, 'avg_fitness': 7842.2222222222226, 'var_fitness': 1161971.0617283951, 'best_fitness': 10311}
{'generation': 197, 'avg_fitness': 8278.6666666666661, 'var_fitness': 1445763.1111111112, 'best_fitness': 10311}
{'generation': 198, 'avg_fitness': 8859.7777777777774, 'var_fitness': 1231445.7283950618, 'best_fitness': 10311}
{'generation': 199, 'avg_fitness': 8468.4444444444453, 'var_fitness': 1436656.913580247, 'best_fitness': 10311}
{'generation': 200, 'avg_fitness': 8781.5555555555547, 'var_fitness': 744317.58024691348, 'best_fitness': 10311}
{'generation': 201, 'avg_fitness': 8929.2222222222226, 'var_fitness': 903670.61728395056, 'best_fitness': 10311}
{'generation': 202, 'avg_fitness': 9044.7777777777774, 'var_fitness': 640069.95061728393, 'best_fitness': 10311}
{'generation': 203, 'avg_fitness': 8695.5555555555547, 'var_fitness': 861319.1358024691, 'best_fitness': 10311}
{'generation': 204, 'avg_fitness': 8554.8888888888887, 'var_fitness': 581585.43209876539, 'best_fitness': 9879}
{'generation': 205, 'avg_fitness': 8579.8888888888887, 'var_fitness': 1053014.5432098764, 'best_fitness': 9879}
{'generation': 206, 'avg_fitness': 8250.4444444444453, 'var_fitness': 790350.46913580247, 'best_fitness': 9325}
{'generation': 207, 'avg_fitness': 8834.5555555555547, 'var_fitness': 336695.35802469141, 'best_fitness': 9491}
{'generation': 208, 'avg_fitness': 8595.2222222222226, 'var_fitness': 741383.06172839506, 'best_fitness': 9848}
{'generation': 209, 'avg_fitness': 7796.2222222222226, 'var_fitness': 813099.28395061719, 'best_fitness': 9491}
{'generation': 210, 'avg_fitness': 7754.7777777777774, 'var_fitness': 686232.17283950618, 'best_fitness': 9491}
{'generation': 211, 'avg_fitness': 7756.7777777777774, 'var_fitness': 901586.17283950618, 'best_fitness': 9491}
{'generation': 212, 'avg_fitness': 6899.2222222222226, 'var_fitness': 2075746.8395061728, 'best_fitness': 8730}
{'generation': 213, 'avg_fitness': 7138.2222222222226, 'var_fitness': 1339603.0617283951, 'best_fitness': 9449}
{'generation': 214, 'avg_fitness': 7896.333333333333, 'var_fitness': 323180.44444444444, 'best_fitness': 8840}
{'generation': 215, 'avg_fitness': 8017.333333333333, 'var_fitness': 294904.00000000006, 'best_fitness': 8985}
{'generation': 216, 'avg_fitness': 7522.4444444444443, 'var_fitness': 1691502.2469135802, 'best_fitness': 8992}
{'generation': 217, 'avg_fitness': 8389.5555555555547, 'var_fitness': 1916703.5802469132, 'best_fitness': 10858}
{'generation': 218, 'avg_fitness': 8591.7777777777774, 'var_fitness': 670209.95061728393, 'best_fitness': 9214}
{'generation': 219, 'avg_fitness': 7593.333333333333, 'var_fitness': 1640781.7777777775, 'best_fitness': 9214}
{'generation': 220, 'avg_fitness': 8133.4444444444443, 'var_fitness': 750888.46913580247, 'best_fitness': 9214}
{'generation': 221, 'avg_fitness': 8398.2222222222226, 'var_fitness': 553868.17283950618, 'best_fitness': 9817}
{'generation': 222, 'avg_fitness': 8627.3333333333339, 'var_fitness': 1543171.111111111, 'best_fitness': 11239}
{'generation': 223, 'avg_fitness': 8599.2222222222226, 'var_fitness': 3190964.3950617281, 'best_fitness': 11239}
{'generation': 224, 'avg_fitness': 8526.8888888888887, 'var_fitness': 2299619.6543209874, 'best_fitness': 11650}
{'generation': 225, 'avg_fitness': 9690.5555555555547, 'var_fitness': 2595804.2469135802, 'best_fitness': 11650}
{'generation': 226, 'avg_fitness': 10304.111111111111, 'var_fitness': 1544351.2098765431, 'best_fitness': 11650}
{'generation': 227, 'avg_fitness': 9786.0, 'var_fitness': 1299687.3333333333, 'best_fitness': 11233}
{'generation': 228, 'avg_fitness': 9326.3333333333339, 'var_fitness': 1498379.1111111112, 'best_fitness': 11233}
{'generation': 229, 'avg_fitness': 8349.4444444444453, 'var_fitness': 1551223.8024691357, 'best_fitness': 11233}
{'generation': 230, 'avg_fitness': 8211.0, 'var_fitness': 2403646.222222222, 'best_fitness': 11233}
{'generation': 231, 'avg_fitness': 8510.7777777777774, 'var_fitness': 1689487.5061728393, 'best_fitness': 11233}
{'generation': 232, 'avg_fitness': 8480.6666666666661, 'var_fitness': 554959.5555555555, 'best_fitness': 9839}
{'generation': 233, 'avg_fitness': 8648.4444444444453, 'var_fitness': 5029994.2469135802, 'best_fitness': 11315}
{'generation': 234, 'avg_fitness': 8624.8888888888887, 'var_fitness': 573390.32098765438, 'best_fitness': 10187}
{'generation': 235, 'avg_fitness': 8842.6666666666661, 'var_fitness': 1471396.888888889, 'best_fitness': 10303}
{'generation': 236, 'avg_fitness': 8269.4444444444453, 'var_fitness': 2803458.6913580247, 'best_fitness': 10303}
{'generation': 237, 'avg_fitness': 7942.333333333333, 'var_fitness': 2241267.777777778, 'best_fitness': 10303}
{'generation': 238, 'avg_fitness': 8796.7777777777774, 'var_fitness': 3375684.8395061726, 'best_fitness': 11210}
{'generation': 239, 'avg_fitness': 9175.2222222222226, 'var_fitness': 1221298.8395061728, 'best_fitness': 11210}
{'generation': 240, 'avg_fitness': 9548.8888888888887, 'var_fitness': 796239.87654320977, 'best_fitness': 11210}
{'generation': 241, 'avg_fitness': 9043.7777777777774, 'var_fitness': 1037268.1728395062, 'best_fitness': 10380}
{'generation': 242, 'avg_fitness': 9056.3333333333339, 'var_fitness': 1837546.4444444443, 'best_fitness': 11201}
{'generation': 243, 'avg_fitness': 8831.4444444444453, 'var_fitness': 1030252.6913580248, 'best_fitness': 10380}
{'generation': 244, 'avg_fitness': 8232.4444444444453, 'var_fitness': 1369096.24691358, 'best_fitness': 10380}
